run,seed,generation,best_accuracy_percent,best_fmeasure,tree_size,expression,expression_with_column_names
8,486,80,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,81,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,82,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,83,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,84,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,85,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,86,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,87,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,88,81.420765,0.291667,5,"((x5 - 4) + x8)","((degree_of_malignancy - 4) + irradiat)"
8,486,89,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,90,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,91,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,92,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,93,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,94,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,95,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,96,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
8,486,97,81.420765,0.291667,5,"((x8 - 4) + x5)","((irradiat - 4) + degree_of_malignancy)"
